n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
5,5,1,8,None,0.00016799999866634607315,0.00,None,
7,3,2,300,None,4.300000000512227416e-05,0.00,None,
10,10,1,51,None,8.3999999333173036575e-05,0.00,None,
11,11,1,79,None,8.8000000687316060066e-05,0.00,None,
12,12,1,54,None,7.3000002885237336159e-05,0.00,None,
13,13,2,145,None,5.800000144517980516e-05,0.00,None,
14,14,1,55,None,0.00011899999663000926375,0.00,None,
15,15,2,106,None,0.00017699999443721026182,0.00,None,
16,16,2,130,None,0.00011600000289035961032,0.00,None,
17,17,2,105,None,0.00011800000356743112206,0.00,None,
18,18,2,121,None,0.00015900000289548188448,0.00,None,
19,19,2,129,None,0.00041599999531172215939,0.00,None,
20,20,3,188,None,0.00023600000713486224413,0.00,None,
21,21,2,120,None,0.00014800000644754618406,0.00,None,
22,22,3,171,None,0.00026800000341609120369,0.00,None,
23,23,2,147,None,0.00021800000104121863842,0.00,None,
24,24,3,181,None,0.00026699999580159783363,0.00,None,
25,25,4,237,None,0.00026199998683296144009,0.00,None,
26,26,3,161,None,0.00015199999324977397919,0.00,None,
27,27,3,180,None,0.00015399999392684549093,0.00,None,
28,28,3,158,None,0.00022699999681208282709,0.00,None,
29,29,3,186,None,0.00011600000289035961032,0.00,None,
30,30,3,182,None,0.00018699999782256782055,0.00,None,
31,31,4,215,None,0.00024600001052021980286,0.00,None,
32,32,3,187,None,0.00019900000188499689102,0.00,None,
33,33,3,178,None,0.00026500000967644155025,0.00,None,
34,34,3,182,None,0.00024699998903088271618,0.00,None,
35,35,4,237,None,0.00014800000644754618406,0.00,None,
36,36,5,345,None,0.00028099998598918318748,0.00,None,
37,37,3,163,None,0.00054400000954046845436,0.00,None,
38,38,4,260,None,0.00036700000055134296417,0.00,None,
39,39,4,229,None,0.00018699999782256782055,0.00,None,
40,40,4,236,None,0.00040099999750964343548,0.00,None,
41,41,4,251,None,0.00047400000039488077164,0.00,None,
42,42,7,412,None,0.00040300001273863017559,0.00,None,
43,43,4,243,None,0.00037900000461377203465,0.00,None,
44,44,5,356,None,0.0003549999964889138937,0.00,None,
45,45,4,239,None,0.00056499999482184648514,0.00,None,
46,46,5,301,None,0.00049399997806176543236,0.00,None,
47,47,5,284,None,0.00036599999293684959412,0.00,None,
48,48,5,287,None,0.00045500000123865902424,0.00,None,
49,49,5,275,None,0.000483999989228323102,0.00,None,
50,50,5,314,None,0.00040900000021792948246,0.00,None,
51,51,5,291,None,0.00027899999986402690411,0.00,None,
52,52,6,358,None,0.00020300000323913991451,0.00,None,
53,53,6,404,None,0.00033000000985339283943,0.00,None,
54,54,5,278,None,0.00031299999682232737541,0.00,None,
90,90,10,591,None,0.00060199998551979660988,0.00,None,
120,120,13,701,None,0.00078100000973790884018,0.00,None,
150,150,14,770,None,0.0010379999876022338867,0.00,None,
180,180,17,965,None,0.0016169999726116657257,0.01,None,
210,210,19,1098,None,0.0016629999736323952675,0.00,None,
240,240,20,1161,None,0.0021399999968707561493,0.00,None,
270,270,23,1243,None,0.0022940000053495168686,0.00,None,
300,300,30,1817,None,0.0035800000187009572983,0.01,None,
330,330,33,1942,None,0.0025959999766200780869,0.00,None,
360,360,34,2052,None,0.0022410000674426555634,0.00,None,
550,550,48,2841,None,0.0086129996925592422485,0.01,None,
600,600,61,3633,None,0.01116199977695941925,0.01,None,
650,650,64,3775,None,0.0087789995595812797546,0.01,None,
700,700,67,3835,None,0.0092430002987384796143,0.01,None,
750,750,69,4017,None,0.0075030000880360603333,0.01,None,
800,800,76,4489,None,0.009356000460684299469,0.01,None,
850,850,76,4503,None,0.017293000593781471252,0.02,None,
900,900,78,4625,None,0.017633000388741493225,0.02,None,
950,950,89,5308,None,0.021991999819874763489,0.03,None,
10000,10000,922,53952,None,1.9867769479751586914,2.06,None,
1000,1000,94,5579,None,0.020879000425338745117,0.02,None,
2000,2000,188,11217,None,0.05458899959921836853,0.06,None,
3000,3000,273,16019,None,0.10199700295925140381,0.10,None,
4000,4000,371,21701,None,0.3158619999885559082,0.32,None,
5000,5000,465,27568,None,0.35539099574089050293,0.36,None,
6000,6000,556,32746,None,0.52930301427841186523,0.54,None,
7000,7000,653,38368,None,0.72268998622894287109,0.74,None,
8000,8000,740,43364,None,1.2096960544586181641,1.23,None,
9000,9000,839,49632,None,1.5167809724807739258,1.53,None,
