n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
5,5,1,8,None,0.00014299999747890979052,0.00,None,
7,3,2,300,None,0.00017200000002048909664,0.00,None,
10,10,1,51,None,0.0002830000012181699276,0.00,None,
11,11,1,79,None,0.00026699999580159783363,0.00,None,
12,12,1,54,None,0.00033700000494718551636,0.00,None,
13,13,2,145,None,0.00030799998785369098186,0.00,None,
14,14,1,55,None,0.00027399999089539051056,0.00,None,
15,15,2,106,None,0.00034800000139512121677,0.00,None,
16,16,2,130,None,0.00063999998383224010468,0.00,None,
17,17,2,105,None,0.00033800001256167888641,0.00,None,
18,18,2,121,None,0.00044699999853037297726,0.00,None,
19,19,2,129,None,0.0005150000215508043766,0.00,None,
20,20,3,188,None,0.00047200001426972448826,0.00,None,
21,21,2,120,None,0.00054600002476945519447,0.00,None,
22,22,3,171,None,0.00058499997248873114586,0.00,None,
23,23,2,147,None,0.00049700000090524554253,0.00,None,
24,24,3,181,None,0.00057199998991563916206,0.00,None,
25,25,4,237,None,0.00099600001703947782516,0.00,None,
26,26,3,161,None,0.0012629999546334147453,0.01,None,
27,27,3,180,None,0.0011060000397264957428,0.01,None,
28,28,3,158,None,0.0013439999893307685852,0.01,None,
29,29,3,186,None,0.0013360000448301434517,0.01,None,
30,30,3,182,None,0.0018899999558925628662,0.01,None,
31,31,4,215,None,0.00079600000753998756409,0.00,None,
32,32,3,187,None,0.00069000001531094312668,0.00,None,
33,33,3,178,None,0.00074899999890476465225,0.00,None,
34,34,3,182,None,0.00088000000687316060066,0.00,None,
35,35,4,237,None,0.00087300001177936792374,0.00,None,
36,36,5,345,None,0.00093300000298768281937,0.00,None,
37,37,3,163,None,0.00089800002751871943474,0.00,None,
38,38,4,260,None,0.00082199997268617153168,0.00,None,
39,39,4,229,None,0.00085800001397728919983,0.00,None,
40,40,4,236,None,0.0012519999872893095016,0.00,None,
41,41,4,251,None,0.0018159999744966626167,0.00,None,
42,42,7,412,None,0.0014840000076219439507,0.00,None,
43,43,4,243,None,0.0014169999631121754646,0.00,None,
44,44,5,356,None,0.0014100000262260437012,0.00,None,
45,45,4,239,None,0.0014700000174343585968,0.00,None,
46,46,5,301,None,0.0014290000544860959053,0.00,None,
47,47,5,284,None,0.0015630000270903110504,0.00,None,
48,48,5,287,None,0.0019980000797659158707,0.01,None,
49,49,5,275,None,0.0021279999054968357086,0.01,None,
50,50,5,314,None,0.001027000020258128643,0.00,None,
51,51,5,291,None,0.0012179999612271785736,0.00,None,
52,52,6,358,None,0.0013480000197887420654,0.00,None,
53,53,6,404,None,0.0012179999612271785736,0.00,None,
54,54,5,278,None,0.0024820000398904085159,0.01,None,
90,90,10,591,None,0.0050769997760653495789,0.01,None,
120,120,13,701,None,0.0075869997963309288025,0.01,None,
150,150,14,770,None,0.004420000128448009491,0.00,None,
180,180,17,965,None,0.0065239998511970043182,0.01,None,
210,210,19,1098,None,0.0085330000147223472595,0.01,None,
240,240,20,1161,None,0.017534000799059867859,0.02,None,
270,270,23,1243,None,0.024043999612331390381,0.03,None,
300,300,30,1817,None,0.027150999754667282104,0.03,None,
330,330,33,1942,None,0.031541001051664352417,0.04,None,
360,360,34,2052,None,0.042573999613523483276,0.05,None,
550,550,48,2841,None,0.055420998483896255493,0.06,None,
600,600,61,3633,None,0.049490999430418014526,0.05,None,
650,650,64,3775,None,0.053201999515295028687,0.05,None,
700,700,67,3835,None,0.062095001339912414551,0.06,None,
750,750,69,4017,None,0.070807002484798431396,0.07,None,
800,800,76,4489,None,0.085656002163887023926,0.09,None,
850,850,76,4503,None,0.076537996530532836914,0.08,None,
900,900,78,4625,None,0.085822999477386474609,0.09,None,
950,950,89,5308,None,0.089698001742362976074,0.09,None,
10000,10000,922,53952,None,9.1157941818237304688,9.13,None,
1000,1000,94,5579,None,0.11559700220823287964,0.12,None,
2000,2000,188,11217,None,0.34815999865531921387,0.35,None,
3000,3000,273,16019,None,0.80216199159622192383,0.80,None,
4000,4000,371,21701,None,1.4049119949340820312,1.41,None,
5000,5000,465,27568,None,2.0218579769134521484,2.02,None,
6000,6000,556,32746,None,2.8725960254669189453,2.88,None,
7000,7000,653,38368,None,3.6359789371490478516,3.65,None,
8000,8000,740,43364,None,4.7831988334655761719,4.79,None,
9000,9000,839,49632,None,6.9940028190612792969,7.00,None,
