n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
7,3,2,300,None,3.6000001273350790143e-05,0.00,None,
10,10,1,51,None,4.300000000512227416e-05,0.00,None,
11,11,1,79,None,3.8999998650979250669e-05,0.00,None,
12,12,1,54,None,0.00010299999848939478397,0.00,None,
13,13,2,145,None,4.6000001020729541779e-05,0.00,None,
14,14,1,55,None,4.8999998398358002305e-05,0.00,None,
15,15,2,106,None,4.8000001697801053524e-05,0.00,None,
16,16,2,130,None,0.0001209999973070807755,0.00,None,
17,17,2,105,None,5.6000000768108293414e-05,0.00,None,
18,18,2,121,None,4.8999998398358002305e-05,0.00,None,
19,19,2,129,None,5.2999999752501025796e-05,0.00,None,
20,20,3,188,None,5.800000144517980516e-05,0.00,None,
21,21,2,120,None,5.800000144517980516e-05,0.00,None,
22,22,3,171,None,7.5999996624886989594e-05,0.00,None,
23,23,2,147,None,6.600000051548704505e-05,0.00,None,
24,24,3,181,None,0.00017499999376013875008,0.00,None,
25,25,4,237,None,0.0001289999927394092083,0.00,None,
26,26,3,161,None,0.00013099999341648072004,0.00,None,
27,27,3,180,None,0.00014899999951012432575,0.00,None,
28,28,3,158,None,8.9000001025851815939e-05,0.00,None,
29,29,3,186,None,9.6000003395602107048e-05,0.00,None,
30,30,3,182,None,7.6999996963422745466e-05,0.00,None,
31,31,4,215,None,7.5000003562308847904e-05,0.00,None,
32,32,3,187,None,7.3000002885237336159e-05,0.00,None,
33,33,3,178,None,7.6999996963422745466e-05,0.00,None,
34,34,3,182,None,8.2999998994637280703e-05,0.00,None,
35,35,4,237,None,8.4999999671708792448e-05,0.00,None,
36,36,5,345,None,9.4000002718530595303e-05,0.00,None,
37,37,3,163,None,0.00011800000356743112206,0.00,None,
38,38,4,260,None,0.00010800000018207356334,0.00,None,
39,39,4,229,None,0.0001510000001871958375,0.00,None,
40,40,4,236,None,0.00011000000085914507508,0.00,None,
41,41,4,251,None,0.0001510000001871958375,0.00,None,
42,42,7,412,None,0.00012399999832268804312,0.00,None,
43,43,4,243,None,0.00019099999917671084404,0.00,None,
44,44,5,356,None,0.00017800000205170363188,0.00,None,
45,45,4,239,None,0.00016199999663513153791,0.00,None,
46,46,5,301,None,0.00013299999409355223179,0.00,None,
47,47,5,284,None,0.00021100000594742596149,0.00,None,
48,48,5,287,None,0.00020100000256206840277,0.00,None,
49,49,5,275,None,0.00017499999376013875008,0.00,None,
50,50,5,314,None,0.00020799999765586107969,0.00,None,
51,51,5,291,None,0.00014600000577047467232,0.00,None,
52,52,6,358,None,0.00015300000086426734924,0.00,None,
53,53,6,404,None,0.00013600000238511711359,0.00,None,
54,54,5,278,None,0.00013099999341648072004,0.00,None,
90,90,10,591,None,0.00024399999529123306274,0.00,None,
120,120,13,701,None,0.00033300000359304249287,0.00,None,
150,150,14,770,None,0.00063000002410262823105,0.00,None,
180,180,17,965,None,0.0006970000104047358036,0.00,None,
210,210,19,1098,None,0.00076399999670684337616,0.00,None,
240,240,20,1161,None,0.00085999997099861502647,0.00,None,
270,270,23,1243,None,0.0010079999919980764389,0.00,None,
300,300,30,1817,None,0.0013079999480396509171,0.00,None,
330,330,33,1942,None,0.0013930000131949782372,0.00,None,
360,360,34,2052,None,0.0018119999440386891365,0.00,None,
550,550,48,2841,None,0.0029720000457018613815,0.00,None,
600,600,61,3633,None,0.003975000232458114624,0.00,None,
650,650,64,3775,None,0.0041959998197853565216,0.00,None,
700,700,67,3835,None,0.0042159999720752239227,0.00,None,
750,750,69,4017,None,0.00552699994295835495,0.00,None,
800,800,76,4489,None,0.0056179999373853206635,0.00,None,
850,850,76,4503,None,0.0057290000841021537781,0.00,None,
900,900,78,4625,None,0.0072240000590682029724,0.01,None,
950,950,89,5308,None,0.0078729996457695960999,0.01,None,
10000,10000,922,53952,None,0.62403601408004760742,0.63,None,
1000,1000,94,5579,None,0.0078110001049935817719,0.01,None,
2000,2000,188,11217,None,0.0279389992356300354,0.03,None,
3000,3000,273,16019,None,0.059181999415159225464,0.06,None,
4000,4000,371,21701,None,0.10611300170421600342,0.10,None,
5000,5000,465,27568,None,0.15516099333763122559,0.15,None,
6000,6000,556,32746,None,0.23215599358081817627,0.23,None,
7000,7000,653,38368,None,0.2796860039234161377,0.28,None,
8000,8000,740,43364,None,0.38642901182174682617,0.39,None,
9000,9000,839,49632,None,0.44870299100875854492,0.45,None,
