n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
5,5,1,8.0,OPTIMAL,0.023088761000000003,0.50,300,
7,3,2,250.0,OPTIMAL,0.071750811,0.63,300,
10,10,1,51.0,OPTIMAL,0.1635422,0.82,300,
11,11,1,79.0,OPTIMAL,0.252348587,0.79,300,
12,12,1,54.0,OPTIMAL,0.188080616,0.95,300,
13,13,2,103.0,OPTIMAL,0.42292176200000003,1.05,300,
14,14,1,50.0,OPTIMAL,0.388114695,1.01,300,
15,15,2,106.0,OPTIMAL,1.2678813880000002,2.08,300,
16,16,2,113.0,OPTIMAL,2.913321842,3.59,300,
17,17,2,105.0,OPTIMAL,223.50299039900003,224.12,300,
18,18,2,118.0,FEASIBLE,300.034246369,300.72,300,
19,19,2,106.0,OPTIMAL,12.401867351,13.22,300,
20,20,3,171.0,OPTIMAL,7.907990547000001,8.82,300,
21,21,2,108.0,OPTIMAL,4.292879287,5.08,300,
22,22,3,156.0,FEASIBLE,216.06085684,216.93,300,
23,23,,,NO SOLUTION FOUND,,0.15,300,
24,24,,,NO SOLUTION FOUND,,0.07,300,
25,25,,,NO SOLUTION FOUND,,0.13,300,
26,26,,,NO SOLUTION FOUND,,0.07,300,
27,27,,,NO SOLUTION FOUND,,0.12,300,
28,28,,,NO SOLUTION FOUND,,0.12,300,
29,29,,,NO SOLUTION FOUND,,0.28,300,
30,30,,,NO SOLUTION FOUND,,0.18,300,
31,31,,,NO SOLUTION FOUND,,0.04,300,
32,32,,,NO SOLUTION FOUND,,0.16,300,
33,33,,,NO SOLUTION FOUND,,0.05,300,
34,34,,,NO SOLUTION FOUND,,0.14,300,
35,35,,,NO SOLUTION FOUND,,0.12,300,
36,36,,,NO SOLUTION FOUND,,0.16,300,
37,37,,,NO SOLUTION FOUND,,0.11,300,
38,38,,,NO SOLUTION FOUND,,1.14,300,
39,39,,,NO SOLUTION FOUND,,0.08,300,
40,40,,,NO SOLUTION FOUND,,0.09,300,
41,41,,,NO SOLUTION FOUND,,0.11,300,
42,42,,,NO SOLUTION FOUND,,0.12,300,
43,43,,,NO SOLUTION FOUND,,0.50,300,
44,44,,,NO SOLUTION FOUND,,0.13,300,
45,45,,,NO SOLUTION FOUND,,0.11,300,
46,46,,,NO SOLUTION FOUND,,0.10,300,
47,47,,,NO SOLUTION FOUND,,0.10,300,
48,48,,,NO SOLUTION FOUND,,0.09,300,
49,49,,,NO SOLUTION FOUND,,0.07,300,
50,50,,,NO SOLUTION FOUND,,0.13,300,
51,51,,,NO SOLUTION FOUND,,0.04,300,
52,52,,,NO SOLUTION FOUND,,0.14,300,
53,53,,,NO SOLUTION FOUND,,0.05,300,
54,54,,,NO SOLUTION FOUND,,0.07,300,
90,90,,,NO SOLUTION FOUND,,0.13,300,
120,120,,,NO SOLUTION FOUND,,0.10,300,
150,150,,,NO SOLUTION FOUND,,0.10,300,
180,180,,,NO SOLUTION FOUND,,0.11,300,
210,210,,,NO SOLUTION FOUND,,0.12,300,
240,240,,,NO SOLUTION FOUND,,0.10,300,
270,270,,,NO SOLUTION FOUND,,0.08,300,
300,300,,,NO SOLUTION FOUND,,0.11,300,
330,330,,,NO SOLUTION FOUND,,0.11,300,
360,360,,,NO SOLUTION FOUND,,0.15,300,
550,550,,,NO SOLUTION FOUND,,0.09,300,
