n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
5,5,1,8.0,OPTIMAL,0.025792883000000003,0.64,300,
7,3,2,250.0,OPTIMAL,0.093128639,0.64,300,
10,10,1,51.0,OPTIMAL,0.13548917000000002,0.66,300,
11,11,1,79.0,OPTIMAL,0.24970177300000002,0.75,300,
12,12,1,54.0,OPTIMAL,0.13991952300000002,0.66,300,
13,13,2,103.0,OPTIMAL,0.526329895,1.14,300,
14,14,1,50.0,OPTIMAL,0.6237068330000001,1.51,300,
15,15,2,106.0,OPTIMAL,1.384561815,2.08,300,
16,16,2,113.0,OPTIMAL,2.524122364,3.25,300,
17,17,2,105.0,FEASIBLE,41.437055084,42.09,300,
18,18,,,NO SOLUTION FOUND,,0.02,300,
19,19,2,106.0,FEASIBLE,3.807257508,4.48,300,
20,20,,,NO SOLUTION FOUND,,0.05,300,
21,21,,,NO SOLUTION FOUND,,0.10,300,
22,22,,,NO SOLUTION FOUND,,0.60,300,
23,23,,,NO SOLUTION FOUND,,0.11,300,
24,24,,,NO SOLUTION FOUND,,0.16,300,
25,25,,,NO SOLUTION FOUND,,0.09,300,
26,26,,,NO SOLUTION FOUND,,0.53,300,
27,27,,,NO SOLUTION FOUND,,0.11,300,
28,28,,,NO SOLUTION FOUND,,0.08,300,
29,29,,,NO SOLUTION FOUND,,0.13,300,
30,30,,,NO SOLUTION FOUND,,0.58,300,
31,31,,,NO SOLUTION FOUND,,0.00,300,
32,32,,,NO SOLUTION FOUND,,0.14,300,
33,33,,,NO SOLUTION FOUND,,0.08,300,
34,34,,,NO SOLUTION FOUND,,0.07,300,
35,35,,,NO SOLUTION FOUND,,0.13,300,
36,36,,,NO SOLUTION FOUND,,0.07,300,
37,37,,,NO SOLUTION FOUND,,0.15,300,
38,38,,,NO SOLUTION FOUND,,0.09,300,
39,39,,,NO SOLUTION FOUND,,0.10,300,
40,40,,,NO SOLUTION FOUND,,0.12,300,
41,41,,,NO SOLUTION FOUND,,0.76,300,
42,42,,,NO SOLUTION FOUND,,0.12,300,
43,43,,,NO SOLUTION FOUND,,0.13,300,
44,44,,,NO SOLUTION FOUND,,0.10,300,
45,45,,,NO SOLUTION FOUND,,0.16,300,
46,46,,,NO SOLUTION FOUND,,0.03,300,
47,47,,,NO SOLUTION FOUND,,0.14,300,
48,48,,,NO SOLUTION FOUND,,0.37,300,
49,49,,,NO SOLUTION FOUND,
