n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
100,100,16,115.0,FEASIBLE,150.319224229,163.89,150,
200,200,,,NO SOLUTION FOUND,,674.07,150,
10,10,2,14.0,OPTIMAL,0.19434463700000001,1.06,150,
5,5,1,8.0,OPTIMAL,0.021263814000000002,0.50,150,
5,5,1,8.0,OPTIMAL,0.019605426000000002,0.53,150,
7,3,2,250.0,OPTIMAL,0.037647584000000005,0.54,150,
10,10,1,51.0,OPTIMAL,0.1213019,0.67,150,
11,11,1,79.0,OPTIMAL,0.24523111800000003,0.76,150,
12,12,1,54.0,OPTIMAL,0.19036370600000002,0.72,150,
13,13,2,103.0,OPTIMAL,0.49541313800000003,1.05,150,
14,14,1,50.0,OPTIMAL,0.459139112,1.10,150,
15,15,2,106.0,OPTIMAL,1.2300287970000001,1.81,150,
16,16,2,113.0,OPTIMAL,1.1624300760000001,1.78,150,
17,17,2,105.0,OPTIMAL,133.707353841,134.40,150,
18,18,2,118.0,FEASIBLE,150.02518795400002,151.04,150,
19,19,2,106.0,OPTIMAL,7.717595409,8.41,150,
20,20,3,171.0,OPTIMAL,5.478576652,6.18,150,
21,21,2,108.0,OPTIMAL,13.282218518,14.04,150,
22,22,3,156.0,FEASIBLE,150.03327622400002,151.09,150,
23,23,2,116.0,FEASIBLE,150.16367508500002,151.02,150,
24,24,2,158.0,FEASIBLE,150.138001325,151.46,150,
25,25,3,204.0,FEASIBLE,150.344456192,151.44,150,
26,26,3,158.0,FEASIBLE,150.033233552,151.15,150,
27,27,2,142.0,FEASIBLE,150.089015721,151.16,150,
28,28,3,158.0,FEASIBLE,150.081083487,151.41,150,
29,29,3,167.0,FEASIBLE,150.043745487,151.59,150,
30,30,3,181.0,FEASIBLE,150.03571747700002,151.09,150,
