n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
5,5,1,8.0,OPTIMAL,0.072624698,0.93,300,
7,3,2,250.0,OPTIMAL,0.058952421000000005,0.62,300,
10,10,1,51.0,OPTIMAL,0.223868061,0.83,300,
11,11,1,79.0,OPTIMAL,0.29876087100000004,0.97,300,
12,12,1,54.0,OPTIMAL,0.21655322400000002,0.87,300,
13,13,2,103.0,OPTIMAL,0.53764107,1.36,300,
14,14,1,50.0,OPTIMAL,0.5214493250000001,1.31,300,
15,15,2,106.0,OPTIMAL,1.259768813,2.01,300,
16,16,2,113.0,OPTIMAL,1.232070253,1.99,300,
17,17,2,105.0,OPTIMAL,119.03543504900001,119.84,300,
18,18,2,118.0,FEASIBLE,300.03640085,300.73,300,
19,19,2,106.0,OPTIMAL,6.882941573,7.65,300,
20,20,3,171.0,OPTIMAL,4.561733538,5.28,300,
21,21,2,108.0,OPTIMAL,3.5887372290000004,4.29,300,
22,22,3,156.0,FEASIBLE,300.048665265,300.82,300,
23,23,2,116.0,FEASIBLE,300.10479118700005,301.21,300,
24,24,2,158.0,FEASIBLE,300.253547609,301.06,300,
25,25,3,204.0,FEASIBLE,300.04893361200004,300.87,300,
26,26,3,158.0,FEASIBLE,80896.951028918,80897.85,300,
27,27,2,142.0,FEASIBLE,300.04645849900004,300.86,300,
28,28,3,158.0,FEASIBLE,300.050287706,300.99,300,
29,29,3,167.0,FEASIBLE,300.059665831,301.05,300,
30,30,3,181.0,FEASIBLE,300.058806055,301.06,300,
31,31,4,215.0,FEASIBLE,300.053544558,301.00,300,
32,32,3,171.0,FEASIBLE,300.061458608,301.05,300,
33,33,3,165.0,FEASIBLE,300.065073147,301.07,300,
34,34,3,168.0,FEASIBLE,300.06130149300003,301.20,300,
35,35,4,213.0,FEASIBLE,300.08891541400004,301.88,300,
36,36,4,295.0,FEASIBLE,300.134595923,301.58,300,
37,37,3,163.0,FEASIBLE,300.04866240300004,301.48,300,
38,38,4,237.0,FEASIBLE,300.129893499,301.37,300,
39,39,4,229.0,FEASIBLE,300.06196366700004,301.33,300,
40,40,4,223.0,FEASIBLE,300.06704309500003,301.43,300,
41,41,4,225.0,FEASIBLE,300.07883236600003,301.51,300,
42,42,6,367.0,FEASIBLE,300.06789567100003,301.51,300,
43,43,4,237.0,FEASIBLE,300.210615453,301.71,300,
44,44,4,283.0,FEASIBLE,300.070285505,301.65,300,
45,45,4,220.0,FEASIBLE,300.34049828300004,302.01,300,
46,46,5,272.0,FEASIBLE,300.128475762,301.95,300,
47,47,5,284.0,FEASIBLE,300.291708777,302.54,300,
48,48,5,269.0,FEASIBLE,300.10186666600003,302.01,300,
49,49,5,275.0,FEASIBLE,300.09019693600004,302.00,300,
50,50,5,290.0,FEASIBLE,300.310978047,302.35,300,
51,51,6,328.0,FEASIBLE,300.081320934,302.19,300,
52,52,5,314.0,FEASIBLE,300.09323972000004,302.29,300,
53,53,6,376.0,FEASIBLE,300.21728531400004,302.63,300,
54,54,5,269.0,FEASIBLE,300.09176227700004,302.88,300,
90,90,17,1124.0,FEASIBLE,385.89500406900004,393.74,300,
120,120,15,830.0,FEASIBLE,301.083563631,317.97,300,
