n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
5,5,1,8,None,0.20148399472236633301,0.20,None,
7,3,2,300,None,0.21199999749660491943,0.21,None,
10,10,1,51,None,0.80295902490615844727,0.80,None,
11,11,1,79,None,0.92242598533630371094,0.92,None,
12,12,1,54,None,1.0152590274810791016,1.01,None,
13,13,2,103,None,1.0211609601974487305,1.02,None,
14,14,1,55,None,1.0735069513320922852,1.07,None,
15,15,2,106,None,1.2383719682693481445,1.25,None,
16,16,2,113,None,1.2120319604873657227,1.21,None,
17,17,2,105,None,1.3758759498596191406,1.38,None,
18,18,2,119,None,1.37909698486328125,1.38,None,
19,19,2,127,None,1.4455000162124633789,1.44,None,
20,20,3,171,None,1.5434689521789550781,1.54,None,
21,21,2,120,None,1.6195739507675170898,1.62,None,
22,22,3,161,None,1.7169729471206665039,1.72,None,
23,23,2,147,None,1.8528929948806762695,1.86,None,
24,24,3,168,None,1.747491002082824707,1.75,None,
25,25,4,237,None,2.4198269844055175781,2.42,None,
26,26,3,158,None,2.5246369838714599609,2.52,None,
27,27,3,172,None,2.3440830707550048828,2.34,None,
28,28,3,158,None,2.39449310302734375,2.39,None,
29,29,3,186,None,2.4567348957061767578,2.46,None,
30,30,3,182,None,2.7525649070739746094,2.75,None,
31,31,4,215,None,2.7605469226837158203,2.76,None,
32,32,3,187,None,2.7370250225067138672,2.73,None,
33,33,3,168,None,2.9294919967651367188,2.93,None,
34,34,3,182,None,3.012454986572265625,3.01,None,
35,35,4,220,None,3.0949780941009521484,3.09,None,
36,36,5,345,None,3.1920430660247802734,3.19,None,
37,37,4,215,None,3.1598560810089111328,3.16,None,
38,38,4,260,None,3.1360559463500976562,3.13,None,
39,39,4,229,None,2.9110860824584960938,2.91,None,
40,40,4,236,None,3.3396849632263183594,3.34,None,
41,41,4,228,None,3.442195892333984375,3.44,None,
42,42,7,404,None,3.3845810890197753906,3.38,None,
43,43,4,243,None,4.014942169189453125,4.01,None,
44,44,5,307,None,3.8907670974731445312,3.89,None,
45,45,4,224,None,3.8705360889434814453,3.88,None,
46,46,5,301,None,3.9983069896697998047,4.00,None,
47,47,6,317,None,4.5416698455810546875,4.56,None,
48,48,5,269,None,4.2622852325439453125,4.27,None,
49,49,5,275,None,4.19783782958984375,4.20,None,
50,50,5,314,None,4.6438379287719726562,4.64,None,
51,51,6,328,None,4.3263001441955566406,4.33,None,
52,52,6,332,None,4.9051041603088378906,4.91,None,
53,53,6,389,None,4.5743961334228515625,4.57,None,
54,54,5,265,None,4.9728741645812988281,4.98,None,
90,90,10,591,None,7.5377521514892578125,7.54,None,
120,120,13,693,None,10.050475120544433594,10.05,None,
150,150,14,768,None,12.790983200073242188,12.80,None,
180,180,17,951,None,15.066275596618652344,15.07,None,
210,210,19,1098,None,17.679534912109375,17.68,None,
240,240,20,1161,None,20.378139495849609375,20.39,None,
270,270,23,1243,None,23.22205352783203125,23.23,None,
300,300,30,1817,None,24.991922378540039062,24.99,None,
330,330,34,1942,None,27.803203582763671875,27.82,None,
360,360,34,2009,None,30.877927780151367188,30.88,None,
550,550,48,2841,None,46.97170257568359375,46.98,None,
600,600,61,3633,None,50.87894439697265625,50.90,None,
650,650,64,3775,None,53.20088958740234375,53.21,None,
700,700,67,3835,None,57.913585662841796875,57.94,None,
750,750,69,4017,None,103.934906005859375,103.98,None,
800,800,77,4462,None,118.5442047119140625,118.55,None,
850,850,76,4462,None,132.87939453125,132.88,None,
900,900,78,4625,None,135.2673187255859375,135.27,None,
950,950,89,5308,None,148.6505126953125,148.66,None,
10000,10000,,,NO SOLUTION FOUND,,0.25,None,
1000,1000,94,5579,None,157.0250244140625,3601.75,None,
2000,2000,,,NO SOLUTION FOUND,,1.20,None,
3000,3000,,,NO SOLUTION FOUND,,1.97,None,
4000,4000,,,NO SOLUTION FOUND,,0.47,None,
5000,5000,,,NO SOLUTION FOUND,,0.61,None,
6000,6000,,,NO SOLUTION FOUND,,0.61,None,
7000,7000,,,NO SOLUTION FOUND,,0.74,None,
8000,8000,,,NO SOLUTION FOUND,,0.61,None,
9000,9000,,,NO SOLUTION FOUND,,0.62,None,
