n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
5,5,1,8,None,0.00014499999815598130226,0.00,None,
7,3,2,300,None,0.00019399999291636049747,0.00,None,
10,10,1,51,None,0.00016199999663513153791,0.00,None,
11,11,1,79,None,0.00025099999038502573967,0.00,None,
12,12,1,54,None,0.00022400000307243317366,0.00,None,
13,13,2,145,None,0.000302000000374391675,0.00,None,
14,14,1,55,None,0.00025199999799951910973,0.00,None,
15,15,2,106,None,0.00040600000647827982903,0.00,None,
16,16,2,130,None,0.000483999989228323102,0.00,None,
17,17,2,105,None,0.0004710000066552311182,0.00,None,
18,18,2,121,None,0.00061400001868605613708,0.00,None,
19,19,2,129,None,0.00050999998347833752632,0.00,None,
20,20,3,188,None,0.00080699997488409280777,0.01,None,
21,21,2,120,None,0.00078000000212341547012,0.00,None,
22,22,3,171,None,0.00069600000279024243355,0.00,None,
23,23,2,147,None,0.00055900000734254717827,0.00,None,
24,24,3,181,None,0.00087899999925866723061,0.00,None,
25,25,4,237,None,0.0007730000070296227932,0.00,None,
26,26,3,161,None,0.00065000000176951289177,0.00,None,
27,27,3,180,None,0.00066100002732127904892,0.00,None,
28,28,3,158,None,0.00093999999808147549629,0.00,None,
29,29,3,186,None,0.00081100000534206628799,0.00,None,
30,30,3,182,None,0.00075599999399855732918,0.00,None,
31,31,4,215,None,0.0011030000168830156326,0.00,None,
32,32,3,187,None,0.00088499998673796653748,0.00,None,
33,33,3,178,None,0.0010400000028312206268,0.00,None,
34,34,3,182,None,0.0014290000544860959053,0.00,None,
35,35,4,237,None,0.0014830000000074505806,0.02,None,
36,36,5,345,None,0.0013279999839141964912,0.01,None,
37,37,3,163,None,0.001505999942310154438,0.01,None,
38,38,4,260,None,0.0013999999500811100006,0.01,None,
39,39,4,229,None,0.0019219999667257070541,0.01,None,
40,40,4,236,None,0.0016680000117048621178,0.01,None,
41,41,4,251,None,0.0012829999905079603195,0.01,None,
42,42,7,412,None,0.0012600000482052564621,0.00,None,
43,43,4,243,None,0.0020089999306946992874,0.01,None,
44,44,5,356,None,0.0012809999752789735794,0.00,None,
45,45,4,239,None,0.0012629999546334147453,0.00,None,
46,46,5,301,None,0.0015999999595806002617,0.00,None,
47,47,5,284,None,0.0015979999443516135216,0.00,None,
48,48,5,287,None,0.0013210000470280647278,0.00,None,
49,49,5,275,None,0.0024629998952150344849,0.01,None,
50,50,5,314,None,0.0020600000862032175064,0.00,None,
51,51,5,291,None,0.0014629999641329050064,0.00,None,
52,52,6,358,None,0.0019130000146105885506,0.00,None,
53,53,6,404,None,0.0013709999620914459229,0.01,None,
54,54,5,278,None,0.0015670000575482845306,0.00,None,
90,90,10,591,None,0.002829999895766377449,0.01,None,
120,120,13,701,None,0.0051560001447796821594,0.01,None,
150,150,14,770,None,0.0068910000845789909363,0.01,None,
180,180,17,965,None,0.0098780002444982528687,0.01,None,
210,210,19,1098,None,0.012329000048339366913,0.02,None,
240,240,20,1161,None,0.013853999786078929901,0.02,None,
270,270,23,1243,None,0.019494999200105667114,0.03,None,
300,300,30,1817,None,0.02574799954891204834,0.03,None,
330,330,33,1942,None,0.020439000800251960754,0.02,None,
360,360,34,2052,None,0.01886799931526184082,0.02,None,
550,550,48,2841,None,0.04316399991512298584,0.05,None,
600,600,61,3633,None,0.075571998953819274902,0.08,None,
650,650,64,3775,None,0.064731001853942871094,0.07,None,
700,700,67,3835,None,0.063331998884677886963,0.07,None,
750,750,69,4017,None,0.093346998095512390137,0.10,None,
800,800,76,4489,None,0.078628003597259521484,0.08,None,
850,850,76,4503,None,0.085266999900341033936,0.09,None,
900,900,78,4625,None,0.13109399378299713135,0.14,None,
950,950,89,5308,None,0.12812200188636779785,0.14,None,
10000,10000,922,53952,None,7.4222631454467773438,7.44,None,
1000,1000,94,5579,None,0.10761500149965286255,0.11,None,
2000,2000,188,11217,None,0.33149498701095581055,0.34,None,
3000,3000,273,16019,None,0.74320000410079956055,0.75,None,
4000,4000,371,21701,None,1.2426179647445678711,1.25,None,
5000,5000,465,27568,None,2.0038321018218994141,2.01,None,
6000,6000,556,32746,None,2.5577208995819091797,2.56,None,
7000,7000,653,38368,None,3.5615279674530029297,3.57,None,
8000,8000,740,43364,None,4.3194241523742675781,4.33,None,
9000,9000,839,49632,None,5.8489370346069335938,5.86,None,
