n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
5,5,1,8,None,3.7735140323638916016,3.78,None,
7,3,2,300,None,5.2649321556091308594,5.27,None,
10,10,1,51,None,6.7600541114807128906,6.77,None,
11,11,1,79,None,5.0157480239868164062,5.02,None,
12,12,1,54,None,4.7367329597473144531,4.74,None,
13,13,2,145,None,7.6031861305236816406,7.61,None,
14,14,1,55,None,6.94884490966796875,6.95,None,
15,15,2,106,None,8.9496984481811523438,8.95,None,
16,16,2,130,None,10.45928955078125,10.46,None,
17,17,2,105,None,10.632122039794921875,10.63,None,
18,18,2,121,None,9.7892980575561523438,9.80,None,
19,19,2,129,None,10.95383453369140625,10.97,None,
20,20,3,188,None,11.121926307678222656,11.12,None,
21,21,2,120,None,10.9495086669921875,10.95,None,
22,22,3,171,None,12.634337425231933594,12.64,None,
23,23,2,147,None,13.748526573181152344,13.75,None,
24,24,3,181,None,13.433549880981445312,13.44,None,
25,25,4,237,None,14.230366706848144531,14.24,None,
26,26,3,161,None,13.089236259460449219,13.09,None,
27,27,3,180,None,13.200657844543457031,13.20,None,
28,28,3,158,None,14.076635360717773438,14.08,None,
29,29,3,186,None,16.166166305541992188,16.17,None,
30,30,3,182,None,15.351044654846191406,15.35,None,
31,31,4,215,None,16.438734054565429688,16.45,None,
32,32,3,187,None,14.500996589660644531,14.51,None,
33,33,3,178,None,16.699213027954101562,16.70,None,
34,34,3,182,None,18.461557388305664062,18.47,None,
35,35,4,237,None,17.830913543701171875,17.84,None,
36,36,5,345,None,20.059320449829101562,20.07,None,
37,37,3,163,None,18.542163848876953125,18.55,None,
38,38,4,260,None,20.271493911743164062,20.28,None,
39,39,4,229,None,19.638555526733398438,19.64,None,
40,40,4,236,None,19.266904830932617188,19.27,None,
41,41,4,251,None,22.122104644775390625,22.13,None,
42,42,7,412,None,16.535066604614257812,16.54,None,
43,43,4,243,None,30.812488555908203125,30.82,None,
44,44,5,356,None,41.421504974365234375,41.43,None,
45,45,4,239,None,40.711551666259765625,40.73,None,
46,46,5,301,None,44.66607666015625,44.69,None,
47,47,5,284,None,47.289981842041015625,47.32,None,
48,48,5,287,None,46.50046539306640625,46.53,None,
49,49,5,275,None,51.9359283447265625,51.98,None,
50,50,5,314,None,49.433635711669921875,49.46,None,
51,51,5,291,None,47.77422332763671875,47.81,None,
52,52,6,358,None,41.26419830322265625,41.30,None,
53,53,6,404,None,40.333221435546875,40.36,None,
54,54,5,278,None,51.991893768310546875,52.01,None,
90,90,10,591,None,42.621456146240234375,42.63,None,
120,120,13,701,None,46.505680084228515625,46.52,None,
150,150,14,770,None,50.34903717041015625,50.38,None,
180,180,17,965,None,50.59305572509765625,50.61,None,
210,210,19,1098,None,54.468921661376953125,3499.18,None,
240,240,20,1161,None,85.4917755126953125,85.52,None,
270,270,,,NO SOLUTION FOUND,,19.94,None,
300,300,,,NO SOLUTION FOUND,,0.16,None,
330,330,,,NO SOLUTION FOUND,,0.07,None,
360,360,,,NO SOLUTION FOUND,,0.09,None,
550,550,,,NO SOLUTION FOUND,,0.09,None,
600,600,,,
